# .test .cputime .temperature .time_mat1 .time_mat2
320 0.326292  4.870 0.003302 0.005068
321 0.328624  5.844 0.003395 0.005140
322 0.328999  6.331 0.003390 0.005311
323 0.329739  5.844 0.003413 0.005261
324 0.331505  5.844 0.003432 0.005365
325 0.331894  6.331 0.003351 0.005241
326 0.331715  6.331 0.003462 0.005227
327 0.335387  6.331 0.003469 0.005384
328 0.335141  6.331 0.003578 0.005535
329 0.336257  6.331 0.003514 0.005454
330 0.339484  6.331 0.003498 0.005584
331 0.337058  6.331 0.003606 0.005417
332 0.338727  5.844 0.003590 0.005555
333 0.340929  5.844 0.003548 0.005468
334 0.342094  5.844 0.003610 0.005597
335 0.340722  6.331 0.003629 0.005812
336 0.346449  6.331 0.003659 0.005631
337 0.346066  5.844 0.003600 0.005908
338 0.346870  5.844 0.003700 0.005978
339 0.347380  5.357 0.003645 0.005942
340 0.347962  6.331 0.003686 0.005829
341 0.348640  6.818 0.003772 0.005922
342 0.349729  5.844 0.003794 0.005886
343 0.349361  6.818 0.003762 0.005866
344 0.352016  6.818 0.003823 0.006158
345 0.351876  6.818 0.003786 0.006142
346 0.353055  5.844 0.003852 0.006210
347 0.354634  5.844 0.003919 0.006227
348 0.355266  6.331 0.003862 0.006203
349 0.356202  7.305 0.003896 0.006405
350 0.358923  6.818 0.003947 0.006402
351 0.357658  6.818 0.003914 0.006483
352 0.359426  6.818 0.003982 0.006514
353 0.360142  5.844 0.003963 0.006361
354 0.361731  6.818 0.004053 0.006529
355 0.362633  6.818 0.004046 0.006690
356 0.363470  6.331 0.004089 0.006604
357 0.363793  6.818 0.004033 0.006613
358 0.367418  7.792 0.004151 0.006487
359 0.365695  6.331 0.004047 0.006662
360 0.367047  6.331 0.004151 0.006633
361 0.369930  6.331 0.004143 0.006587
362 0.370137  6.818 0.004183 0.006673
363 0.371970  6.818 0.004165 0.006947
364 0.370668  7.305 0.004235 0.006940
365 0.374175  6.331 0.004231 0.006801
366 0.374110  6.331 0.004264 0.006919
367 0.374060  7.792 0.004381 0.007160
368 0.375573  6.331 0.004319 0.007047
369 0.378325  5.844 0.004403 0.007210
370 0.377840  6.331 0.004415 0.007162
371 0.378561  7.792 0.004440 0.006980
372 0.381505  7.792 0.004419 0.007406
373 0.380088  6.331 0.004411 0.007354
374 0.381101  6.818 0.004460 0.007301
375 0.383763  6.818 0.004458 0.007385
376 0.385365  6.818 0.004468 0.007367
377 0.384179  6.818 0.004505 0.007627
378 0.385079  6.818 0.004519 0.007476
379 0.387623  7.305 0.004568 0.007525
380 0.387388  6.331 0.004614 0.007432
381 0.388440  6.331 0.004556 0.008119
382 0.388993  6.331 0.004619 0.007595
383 0.392565  6.818 0.004663 0.007710
384 0.391960  6.818 0.004665 0.007665
385 0.391744  6.331 0.004690 0.007957
386 0.393501  6.818 0.004750 0.008002
387 0.395634  7.305 0.004864 0.007857
388 0.395379  6.818 0.004885 0.007907
389 0.397086  6.331 0.004803 0.007893
390 0.397334  6.818 0.004862 0.008252
391 0.398976  6.331 0.004911 0.008103
392 0.399186  6.331 0.004821 0.008196
393 0.400031  6.818 0.004906 0.007987
394 0.402956  7.305 0.004877 0.008314
395 0.401931  7.305 0.004939 0.008226
396 0.405253  7.792 0.004917 0.008468
397 0.404612  6.331 0.005121 0.008262
398 0.406848  7.305 0.005036 0.008474
399 0.406555  7.305 0.005069 0.008380
400 0.408878  7.305 0.005013 0.008514
401 0.409428  7.305 0.005073 0.008532
402 0.410730  7.305 0.005053 0.008586
403 0.409797  6.818 0.005115 0.008603
404 0.411837  8.279 0.005118 0.008756
405 0.414681  7.305 0.005253 0.008852
406 0.414714  7.305 0.005145 0.008890
407 0.415302  6.818 0.005212 0.008790
408 0.417626  7.792 0.005219 0.008849
409 0.417686  7.305 0.005274 0.008893
410 0.419039  7.305 0.005255 0.008882
411 0.418933  7.792 0.005308 0.009181
412 0.421882  7.305 0.005410 0.009062
413 0.420701  8.279 0.005403 0.009215
414 0.422627  7.305 0.005423 0.009172
415 0.423426  8.279 0.005494 0.009264
416 0.424346  6.818 0.005416 0.009082
417 0.426474  7.305 0.005558 0.009067
418 0.426192  7.305 0.005521 0.009267
419 0.429476  7.305 0.005515 0.009497
420 0.430051  7.305 0.005518 0.009359
421 0.430172  6.818 0.005596 0.009419
422 0.430162  8.279 0.005580 0.009683
423 0.430612  7.305 0.005674 0.009534
424 0.433033  7.792 0.005606 0.009790
425 0.434682  7.792 0.005661 0.009666
426 0.435059  7.305 0.005647 0.009687
427 0.435771  8.279 0.005646 0.009622
428 0.437249  8.279 0.005729 0.009979
429 0.437791  7.305 0.005965 0.009822
430 0.438791  7.792 0.005752 0.009868
431 0.439444  7.792 0.005758 0.010060
432 0.441483  7.792 0.005779 0.009983
433 0.442360  6.818 0.005923 0.010166
434 0.442650  7.305 0.005879 0.010030
435 0.443881  6.818 0.005898 0.010199
436 0.444092  7.305 0.005915 0.010090
437 0.446267  7.305 0.005826 0.010334
438 0.447924  7.305 0.005861 0.010329
439 0.448594  6.818 0.005929 0.010382
440 0.448497  7.792 0.006012 0.010442
441 0.449077  7.305 0.005995 0.010364
442 0.450992  8.279 0.006025 0.010335
443 0.451984  7.305 0.006030 0.010535
444 0.452157  7.305 0.006041 0.010556
445 0.452698  8.766 0.006014 0.010605
446 0.454063  7.792 0.006068 0.010706
447 0.456490  9.253 0.006083 0.010974
448 0.455551  8.766 0.006251 0.010962
449 0.457709  8.766 0.006153 0.010641
450 0.460631  8.279 0.006268 0.010989
451 0.460029  8.766 0.006242 0.010984
452 0.488874  7.792 0.006386 0.011108
453 0.459855  7.792 0.006359 0.011137
454 0.461833  7.792 0.006386 0.011328
455 0.461724  7.792 0.006317 0.011266
456 0.461756  8.279 0.006375 0.011335
457 0.462685  7.792 0.006328 0.011260
458 0.466824  8.766 0.006518 0.011116
459 0.466280  7.792 0.006600 0.011363
460 0.467846  8.279 0.006809 0.011503
461 0.468534  8.279 0.006480 0.011476
462 0.469798  7.792 0.006609 0.011449
463 0.470504  8.766 0.006521 0.011570
464 0.471935  9.740 0.006601 0.011595
465 0.472633  9.740 0.006621 0.011697
466 0.475016  8.279 0.006616 0.011575
467 0.474558  8.766 0.006894 0.011838
468 0.476220  8.279 0.006934 0.011716
469 0.476691  7.792 0.006921 0.011876
470 0.479245  9.740 0.006709 0.011875
471 0.477298  8.766 0.006816 0.012233
472 0.481313  7.792 0.006787 0.012249
473 0.479869  8.279 0.006798 0.012181
474 0.482881  8.279 0.007039 0.011913
475 0.482577  8.279 0.006839 0.012189
476 0.483775  9.253 0.006921 0.012386
477 0.483853  7.792 0.007010 0.012399
478 0.487425  9.253 0.007115 0.012234
479 0.486437  9.253 0.006981 0.012583
480 0.489162  8.766 0.007060 0.012296
481 0.487916  8.279 0.007123 0.012587
482 0.489118  8.279 0.007120 0.012260
483 0.492280  8.279 0.007228 0.012320
484 0.492790  9.253 0.007223 0.012640
485 0.491915  9.253 0.007439 0.012567
486 0.494338  8.279 0.007244 0.012918
487 0.495124  9.253 0.007442 0.012743
488 0.496227  8.766 0.007241 0.012785
489 0.495576  8.766 0.007384 0.012793
490 0.498904  9.253 0.007282 0.013081
491 0.499472  8.279 0.007417 0.013095
492 0.501550  9.253 0.007534 0.013198
493 0.500612  8.766 0.007573 0.013383
494 0.507893  8.766 0.007688 0.013404
495 0.517639  9.253 0.007648 0.013255
496 0.519037  7.792 0.007512 0.013527
497 0.519770  6.818 0.007594 0.013409
498 0.519753  8.766 0.007666 0.013569
499 0.518465  8.766 0.007648 0.013508
500 0.522531  7.792 0.007631 0.013724
